Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,IMU.header.seq,IMU.header.stamp.secs,IMU.header.stamp.nsecs,IMU.header.frame_id,IMU.orientation.x,IMU.orientation.y,IMU.orientation.z,IMU.orientation.w,IMU.orientation_covariance,IMU.angular_velocity.x,IMU.angular_velocity.y,IMU.angular_velocity.z,IMU.angular_velocity_covariance,IMU.linear_acceleration.x,IMU.linear_acceleration.y,IMU.linear_acceleration.z,IMU.linear_acceleration_covariance,MagField.header.seq,MagField.header.stamp.secs,MagField.header.stamp.nsecs,MagField.header.frame_id,MagField.magnetic_field.x,MagField.magnetic_field.y,MagField.magnetic_field.z,MagField.magnetic_field_covariance,VNYMR
1678087502.7081368,0,1678087502,674739599,imu1_frame,0,0,0,,0.058028549954891706,-0.0261261389924289,0.029307884025991094,0.9975425605884694,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001358,-0.017365,0.00751,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.628,-1.161,-10.094,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2519,0.1673,0.3383,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.183,-003.183,+006.570,+00.2519,+00.1673,+00.3383,-00.628,-01.161,-10.094,+00.001358,-00.017365,+00.007510*66\r\n'"
1678087502.708168,0,1678087502,699888706,imu1_frame,0,0,0,,0.05794858290635012,-0.02627883055509439,0.02942763058905747,0.9975396730765731,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.005342,-0.002407,0.015009,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.582,-1.176,-10.347,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2527,0.1628,0.3385,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.196,-003.201,+006.560,+00.2527,+00.1628,+00.3385,-00.582,-01.176,-10.347,-00.005342,-00.002407,+00.015009*67\r\n'"
1678087502.7521687,0,1678087502,724836349,imu1_frame,0,0,0,,0.05801501380976811,-0.026228034205128443,0.029671008600619598,0.9975299392213793,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.002088,0.005355,0.020581,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.595,-1.301,-10.193,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1673,0.3413,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.224,-003.197,+006.567,+00.2536,+00.1673,+00.3413,-00.595,-01.301,-10.193,+00.002088,+00.005355,+00.020581*69\r\n'"
1678087502.7537763,0,1678087502,749766588,imu1_frame,0,0,0,,0.058089012397593766,-0.02624396972759183,0.029813599703784947,0.9975209621678693,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000862,-0.002858,0.019178,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.517,-1.215,-10.154,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2527,0.161,0.3424,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.240,-003.200,+006.575,+00.2527,+00.1610,+00.3424,-00.517,-01.215,-10.154,+00.000862,-00.002858,+00.019178*60\r\n'"
1678087502.7962048,0,1678087502,774739265,imu1_frame,0,0,0,,0.05809849328141238,-0.026398225992633802,0.030014478270427233,0.9975103156544425,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.004149,-0.014829,0.01115,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.493,-1.287,-10.197,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1619,0.3414,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.262,-003.219,+006.575,+00.2536,+00.1619,+00.3414,-00.493,-01.287,-10.197,-00.004149,-00.014829,+00.011150*6A\r\n'"
1678087502.844181,0,1678087502,799683809,imu1_frame,0,0,0,,0.05812832249676183,-0.026453814799173154,0.030096966352008137,0.9975046197500488,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001651,-0.007395,0.00552,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.549,-1.272,-10.132,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2536,0.1618,0.3395,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.271,-003.226,+006.578,+00.2536,+00.1618,+00.3395,-00.549,-01.272,-10.132,+00.001651,-00.007395,+00.005520*60\r\n'"
1678087502.844219,0,1678087502,824822187,imu1_frame,0,0,0,,0.05814644203925343,-0.026497832658722485,0.030082485414036554,0.997502832183388,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.002266,-0.000941,-0.006834,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.527,-1.242,-10.211,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2501,0.1628,0.3413,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.269,-003.231,+006.580,+00.2501,+00.1628,+00.3413,-00.527,-01.242,-10.211,+00.002266,-00.000941,-00.006834*65\r\n'"
1678087502.888244,0,1678087502,849754333,imu1_frame,0,0,0,,0.058225968110246495,-0.026585066625932387,0.030045983308701146,0.9974969723047448,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000182,-0.012534,-0.007383,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.553,-1.309,-10.287,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2519,0.1628,0.3404,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.264,-003.241,+006.589,+00.2519,+00.1628,+00.3404,-00.553,-01.309,-10.287,-00.000182,-00.012534,-00.007383*6D\r\n'"
1678087502.8883028,0,1678087502,874670028,imu1_frame,0,0,0,,0.05837845087808817,-0.026442076794386194,0.03002482187168551,0.9974924977760224,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.016151,0.0145,0.002538,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.583,-1.244,-10.197,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2527,0.16,0.3404,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.262,-003.225,+006.607,+00.2527,+00.1600,+00.3404,-00.583,-01.244,-10.197,+00.016151,+00.014500,+00.002538*61\r\n'"
1678087502.932202,0,1678087502,899759292,imu1_frame,0,0,0,,0.0585930626841276,-0.026414522681815985,0.02994205102741075,0.9974831324774658,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.016967,-0.00451,-0.002924,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.52,-1.122,-10.08,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.2519,0.1637,0.3423,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+003.252,-003.222,+006.632,+00.2519,+00.1637,+00.3423,-00.520,-01.122,-10.080,+00.016967,-00.004510,-00.002924*6E\r\n'"
