Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,fix_quality,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1676923035.6434894,2,71837,0,GPS1_Frame,42.3389445,-71.08691283333333,4,19.299999237060547,0.7200000286102295,328083.46819673746,4689519.160227601,19:57:17,19,T
1676923036.613146,3,71838,0,GPS1_Frame,42.338951333333334,-71.0869175,4,19.200000762939453,0.7200000286102295,328083.1023709639,4689519.9284527125,19:57:18,19,T
1676923037.61468,4,71839,0,GPS1_Frame,42.338961,-71.086925,4,19.399999618530273,0.7200000286102295,328082.5108518024,4689521.017026636,19:57:19,19,T
1676923038.6119702,5,71840,0,GPS1_Frame,42.338971,-71.086933,4,19.399999618530273,0.7200000286102295,328081.8790503696,4689522.143625693,19:57:20,19,T
1676923039.6255054,6,71841,0,GPS1_Frame,42.338982,-71.0869405,4,19.399999618530273,0.7200000286102295,328081.2911653635,4689523.380256262,19:57:21,19,T
1676923040.608388,7,71842,0,GPS1_Frame,42.33899266666667,-71.0869475,4,19.399999618530273,0.7200000286102295,328080.7435630216,4689524.578861802,19:57:22,19,T
1676923041.6275666,8,71843,0,GPS1_Frame,42.339003,-71.08695566666667,4,19.399999618530273,0.7200000286102295,328080.0989403832,4689525.74281216,19:57:23,19,T
1676923042.6126118,9,71844,0,GPS1_Frame,42.339013,-71.08696266666666,4,19.399999618530273,0.7200000286102295,328079.54952155706,4689526.867389545,19:57:24,19,T
1676923043.6236458,10,71845,0,GPS1_Frame,42.33902366666667,-71.08697083333334,4,19.399999618530273,0.7200000286102295,328078.9058078044,4689528.068354162,19:57:25,19,T
1676923044.611685,11,71846,0,GPS1_Frame,42.33903383333333,-71.08697816666667,4,19.5,0.7200000286102295,328078.32938303205,4689529.2121127,19:57:26,19,T
1676923045.6347523,12,71847,0,GPS1_Frame,42.339044333333334,-71.0869855,4,19.399999618530273,0.7200000286102295,328077.7538669198,4689530.392885426,19:57:27,19,T
1676923046.599807,13,71848,0,GPS1_Frame,42.339054833333336,-71.08699366666667,4,19.299999237060547,0.7200000286102295,328077.1096996048,4689531.575343166,19:57:28,19,T
1676923047.6342425,14,71849,0,GPS1_Frame,42.3390655,-71.08700033333334,4,19.299999237060547,0.7599999904632568,328076.58955926803,4689532.773275101,19:57:29,19,T
1676923048.6054988,15,71850,0,GPS1_Frame,42.339076,-71.08700816666666,4,19.299999237060547,0.7200000286102295,328075.97285294964,4689533.955058975,19:57:30,19,T
1676923049.6317377,16,71851,0,GPS1_Frame,42.339087,-71.08701666666667,4,19.200000762939453,0.7200000286102295,328075.3025884605,4689535.193712096,19:57:31,19,T
1676923050.6114159,17,71852,0,GPS1_Frame,42.339097,-71.0870245,4,19.399999618530273,0.7200000286102295,328074.6845198807,4689536.319974901,19:57:32,19,T
1676923051.6340117,18,71853,0,GPS1_Frame,42.33910783333334,-71.0870325,4,19.399999618530273,0.7200000286102295,328074.0549924425,4689537.539110099,19:57:33,19,T
1676923052.6106396,19,71854,0,GPS1_Frame,42.339118666666664,-71.08704,4,19.399999618530273,0.7599999904632568,328073.4666560396,4689538.757234363,19:57:34,19,T
1676923053.6358666,20,71855,0,GPS1_Frame,42.339129166666666,-71.087048,4,19.399999618530273,0.7200000286102295,328072.83622057247,4689539.939355555,19:57:35,19,T
1676923054.6072025,21,71856,0,GPS1_Frame,42.3391395,-71.087056,4,19.5,0.7200000286102295,328072.20533108216,4689541.102969744,19:57:36,19,T
1676923055.6301575,22,71857,0,GPS1_Frame,42.339150333333336,-71.08706333333333,4,19.399999618530273,0.7200000286102295,328071.6307256026,4689542.320757187,19:57:37,19,T
1676923056.6049228,23,71858,0,GPS1_Frame,42.339161,-71.08707083333333,4,19.399999618530273,0.8399999737739563,328071.04193582863,4689543.520374621,19:57:38,19,T
1676923057.630035,24,71859,0,GPS1_Frame,42.33917116666667,-71.08707866666667,4,19.5,0.7599999904632568,328070.4243230008,4689544.665144926,19:57:39,19,T
1676923058.5991864,25,71860,0,GPS1_Frame,42.339181833333335,-71.08708616666667,4,19.5,0.8399999737739563,328069.83553365606,4689545.8647624785,19:57:40,19,T
1676923059.6320207,26,71861,0,GPS1_Frame,42.339192,-71.08709383333333,4,19.5,0.7599999904632568,328069.23165150976,4689547.009195894,19:57:41,19,T
1676923060.6059089,27,71862,0,GPS1_Frame,42.33920283333333,-71.087101,4,19.399999618530273,0.7599999904632568,328068.6707773451,4689548.2266466115,19:57:42,19,T
1676923061.633005,28,71863,0,GPS1_Frame,42.3392135,-71.08710883333333,4,19.399999618530273,0.7599999904632568,328068.0545281429,4689549.426938355,19:57:43,19,T
1676923062.6119754,29,71864,0,GPS1_Frame,42.33922366666667,-71.08711566666666,4,19.5,0.7200000286102295,328067.51929785754,4689550.569686891,19:57:44,19,T
1676923063.6347952,30,71865,0,GPS1_Frame,42.339234166666664,-71.08712283333334,4,19.399999618530273,0.7200000286102295,328066.9575157928,4689551.750123633,19:57:45,19,T
1676923064.5991337,31,71866,0,GPS1_Frame,42.3392445,-71.08713083333333,4,19.399999618530273,0.7300000190734863,328066.32662846765,4689552.913738434,19:57:46,19,T
1676923065.635995,32,71867,0,GPS1_Frame,42.339255333333334,-71.08713816666666,4,19.399999618530273,0.7200000286102295,328065.7520251116,4689554.131526438,19:57:47,19,T
1676923066.603679,33,71868,0,GPS1_Frame,42.3392655,-71.08714566666667,4,19.299999237060547,0.7699999809265137,328065.161874664,4689555.275623244,19:57:48,19,T
