Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,fix_quality,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1676917970.450109,2,66771,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:51,19,T
1676917971.4857078,3,66772,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:52,19,T
1676917972.4537077,4,66773,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:53,19,T
1676917973.4943647,5,66774,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:54,19,T
1676917974.448476,6,66775,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:55,19,T
1676917975.501931,7,66776,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:56,19,T
1676917976.4542332,8,66777,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:57,19,T
1676917977.4994333,9,66778,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:58,19,T
1676917978.451742,10,66779,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:32:59,19,T
1676917979.485985,11,66780,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:0,19,T
1676917980.4462326,12,66781,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:1,19,T
1676917981.4942582,13,66782,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:2,19,T
1676917982.453875,14,66783,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:3,19,T
1676917983.4783468,15,66784,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:4,19,T
1676917984.4561245,16,66785,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.6000000238418579,328115.50266033306,4689440.616135303,18:33:5,19,T
1676917985.4870732,17,66786,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.6000000238418579,328115.50266033306,4689440.616135303,18:33:6,19,T
1676917986.4517767,18,66787,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.6000000238418579,328115.50266033306,4689440.616135303,18:33:7,19,T
1676917987.4773111,19,66788,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.6000000238418579,328115.50266033306,4689440.616135303,18:33:8,19,T
1676917988.4500077,20,66789,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:9,19,T
1676917989.4653847,21,66790,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:10,19,T
1676917990.4502447,22,66791,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:11,19,T
1676917991.4853299,23,66792,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:12,19,T
1676917992.4534955,24,66793,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:13,19,T
1676917993.4782498,25,66794,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:14,19,T
1676917994.452077,26,66795,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:15,19,T
1676917995.4870114,27,66796,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:16,19,T
1676917996.4604323,28,66797,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:17,19,T
1676917997.4820611,29,66798,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50266033306,4689440.616135303,18:33:18,19,T
1676917998.4430869,30,66799,0,GPS1_Frame,42.338244833333334,-71.08650083333333,4,37.79999923706055,0.5899999737739563,328115.50311445043,4689440.634642365,18:33:19,19,T
1676917999.4784546,31,66800,0,GPS1_Frame,42.338244833333334,-71.08650066666667,4,37.79999923706055,0.5899999737739563,328115.516844908,4689440.634305454,18:33:20,19,T
1676918000.4571302,32,66801,0,GPS1_Frame,42.33824466666667,-71.08650083333333,4,37.79999923706055,0.6000000238418579,328115.50266033306,4689440.616135303,18:33:21,19,T
