Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,fix_quality,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1676921600.1799695,3,70401,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:21,19,T
1676921601.1663089,4,70402,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:22,19,T
1676921602.1928067,5,70403,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:23,19,T
1676921603.184905,6,70404,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:24,19,T
1676921604.183897,7,70405,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:25,19,T
1676921605.1787174,8,70406,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:26,19,T
1676921606.1829088,9,70407,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:27,19,T
1676921607.160444,10,70408,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:28,19,T
1676921608.1898115,11,70409,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:29,19,T
1676921609.1791902,12,70410,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:30,19,T
1676921610.1802275,13,70411,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:31,19,T
1676921611.174944,14,70412,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:32,19,T
1676921612.1932232,15,70413,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:33,19,T
1676921613.1775172,16,70414,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:34,19,T
1676921614.1876082,17,70415,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:35,19,T
1676921615.1758237,18,70416,0,GPS1_Frame,42.338196333333336,-71.0864265,4,38.5,0.699999988079071,328121.49475526053,4689435.098827181,19:33:36,19,T
1676921616.1722023,19,70417,0,GPS1_Frame,42.338196333333336,-71.08642633333334,4,38.5,0.699999988079071,328121.50848572864,4689435.098490281,19:33:37,19,T
1676921617.1646247,20,70418,0,GPS1_Frame,42.3381965,-71.08642633333334,4,38.5,0.699999988079071,328121.50893982936,4689435.116997345,19:33:38,19,T
1676921618.1802685,21,70419,0,GPS1_Frame,42.338196333333336,-71.08642633333334,4,38.5,0.699999988079071,328121.50848572864,4689435.098490281,19:33:39,19,T
1676921619.1711273,22,70420,0,GPS1_Frame,42.33819616666667,-71.08642666666667,4,38.5,0.699999988079071,328121.48057068954,4689435.080657017,19:33:40,19,T
1676921620.181414,23,70421,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:33:41,19,T
1676921621.1709938,24,70422,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:42,19,T
1676921622.17918,25,70423,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:43,19,T
1676921623.1747859,26,70424,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:44,19,T
1676921624.1854417,27,70425,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:45,19,T
1676921625.1571715,28,70426,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:46,19,T
1676921626.1791613,29,70427,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:47,19,T
1676921627.1746986,30,70428,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:48,19,T
1676921628.1849892,31,70429,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:49,19,T
1676921629.17295,32,70430,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:50,19,T
1676921630.1863508,33,70431,0,GPS1_Frame,42.338196,-71.08642666666667,4,38.5,0.699999988079071,328121.48011658865,4689435.062149955,19:33:51,19,T
1676921631.1671743,34,70432,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:52,19,T
1676921632.1771863,35,70433,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:53,19,T
1676921633.1726193,36,70434,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:54,19,T
1676921634.1709485,37,70435,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:55,19,T
1676921635.1679614,38,70436,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:56,19,T
