Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675105402.9834006,14,68602,0,GPS1_Frame,42.33949833333333,-71.09038166666667,0.0,0.0,327799.2111830072,4689587.678595802,19:3:22,19,T
1675105403.2509933,15,68603,0,GPS1_Frame,42.33949833333333,-71.09038166666667,8.199999809265137,1.0,327799.2111830072,4689587.678595802,19:3:23,19,T
1675105403.537417,16,68603,0,GPS1_Frame,42.33949833333333,-71.09038166666667,0.0,0.0,327799.2111830072,4689587.678595802,19:3:23,19,T
1675105404.2513964,17,68604,0,GPS1_Frame,42.33949833333333,-71.09038166666667,8.199999809265137,1.0,327799.2111830072,4689587.678595802,19:3:24,19,T
1675105404.5376928,18,68604,0,GPS1_Frame,42.33949833333333,-71.09038166666667,0.0,0.0,327799.2111830072,4689587.678595802,19:3:24,19,T
1675105405.250556,19,68605,0,GPS1_Frame,42.33950166666666,-71.09039166666666,8.600000381469727,0.8999999761581421,327798.3964712518,4689588.0689896755,19:3:25,19,T
1675105405.5463119,20,68605,0,GPS1_Frame,42.33950166666666,-71.09039166666666,0.0,0.0,327798.3964712518,4689588.0689896755,19:3:25,19,T
1675105406.2520678,21,68606,0,GPS1_Frame,42.33950333333333,-71.09039833333334,8.699999809265137,0.8999999761581421,327797.8518135366,4689588.267562076,19:3:26,19,T
1675105406.547434,22,68606,0,GPS1_Frame,42.33950333333333,-71.09039833333334,0.0,0.0,327797.8518135366,4689588.267562076,19:3:26,19,T
1675105407.2505417,23,68607,0,GPS1_Frame,42.33949833333333,-71.09040166666666,8.5,1.0,327797.56356045115,4689587.7191008,19:3:27,19,T
1675105407.988623,24,68607,0,GPS1_Frame,42.33949833333333,-71.09040166666666,0.0,0.0,327797.56356045115,4689587.7191008,19:3:27,19,T
1675105408.25036,25,68608,0,GPS1_Frame,42.33949,-71.09040166666666,8.5,1.0,327797.5408115387,4689586.79374724,19:3:28,19,T
1675105408.5417576,26,68608,0,GPS1_Frame,42.33949,-71.09040166666666,0.0,0.0,327797.5408115387,4689586.79374724,19:3:28,19,T
1675105409.250361,27,68609,0,GPS1_Frame,42.339481666666664,-71.09039833333334,8.600000381469727,1.0,327797.7926664606,4689585.861642822,19:3:29,19,T
1675105409.5414639,28,68609,0,GPS1_Frame,42.339481666666664,-71.09039833333334,0.0,0.0,327797.7926664606,4689585.861642822,19:3:29,19,T
1675105410.2507963,29,68610,0,GPS1_Frame,42.33947,-71.09039333333334,8.699999809265137,1.0,327798.17272386956,4689584.556021574,19:3:30,19,T
1675105410.5420837,30,68610,0,GPS1_Frame,42.33947,-71.09039333333334,0.0,0.0,327798.17272386956,4689584.556021574,19:3:30,19,T
1675105411.2520041,31,68611,0,GPS1_Frame,42.33946,-71.09038833333334,8.699999809265137,1.0,327798.5573311886,4689583.4354710635,19:3:31,19,T
1675105411.543102,32,68611,0,GPS1_Frame,42.33946,-71.09038833333334,0.0,0.0,327798.5573311886,4689583.4354710635,19:3:31,19,T
1675105412.2513037,33,68612,0,GPS1_Frame,42.33944833333334,-71.090385,8.699999809265137,1.0,327798.800086919,4689582.133225272,19:3:32,19,T
1675105412.988977,34,68612,0,GPS1_Frame,42.33944833333334,-71.090385,0.0,0.0,327798.800086919,4689582.133225272,19:3:32,19,T
1675105413.2495372,35,68613,0,GPS1_Frame,42.339438333333334,-71.09038166666667,8.699999809265137,1.0,327799.047392488,4689581.016050206,19:3:33,19,T
1675105413.5406427,36,68613,0,GPS1_Frame,42.339438333333334,-71.09038166666667,0.0,0.0,327799.047392488,4689581.016050206,19:3:33,19,T
1675105414.2507885,37,68614,0,GPS1_Frame,42.33943166666667,-71.09038333333334,9.199999809265137,0.8999999761581421,327798.89189152897,4689580.279142766,19:3:34,19,T
1675105414.5464656,38,68614,0,GPS1_Frame,42.33943166666667,-71.09038333333334,0.0,0.0,327798.89189152897,4689580.279142766,19:3:34,19,T
1675105415.2496355,39,68615,0,GPS1_Frame,42.33942166666667,-71.09038,9.199999809265137,0.8999999761581421,327799.1391972032,4689579.161967708,19:3:35,19,T
