Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675104303.2962365,618,67503,0,GPS1_Frame,42.33697,-71.08926666666666,20.200000762939453,0.800000011920929,327884.1680365796,4689304.668858569,18:45:3,19,T
1675104303.596759,619,67503,0,GPS1_Frame,42.33697,-71.08926666666666,0.0,0.0,327884.1680365796,4689304.668858569,18:45:3,19,T
1675104304.3246007,620,67504,0,GPS1_Frame,42.33697,-71.08926833333334,20.200000762939453,0.800000011920929,327884.03072919947,4689304.672232141,18:45:4,19,T
1675104304.6248329,621,67504,0,GPS1_Frame,42.33697,-71.08926833333334,0.0,0.0,327884.03072919947,4689304.672232141,18:45:4,19,T
1675104305.3256032,622,67505,0,GPS1_Frame,42.33697,-71.08926833333334,20.200000762939453,0.800000011920929,327884.03072919947,4689304.672232141,18:45:5,19,T
1675104305.625958,623,67505,0,GPS1_Frame,42.33697,-71.08926833333334,0.0,0.0,327884.03072919947,4689304.672232141,18:45:5,19,T
1675104306.2983096,624,67506,0,GPS1_Frame,42.33697,-71.08927,20.200000762939453,0.800000011920929,327883.8934218234,4689304.675605714,18:45:6,19,T
1675104307.020836,625,67506,0,GPS1_Frame,42.33697,-71.08927,0.0,0.0,327883.8934218234,4689304.675605714,18:45:6,19,T
1675104307.3247979,626,67507,0,GPS1_Frame,42.33697166666666,-71.08927,20.200000762939453,0.800000011920929,327883.8979689187,4689304.860676343,18:45:7,19,T
1675104307.6250966,627,67507,0,GPS1_Frame,42.33697166666666,-71.08927,0.0,0.0,327883.8979689187,4689304.860676343,18:45:7,19,T
1675104308.2977476,628,67508,0,GPS1_Frame,42.33697166666666,-71.08927,20.200000762939453,0.800000011920929,327883.8979689187,4689304.860676343,18:45:8,19,T
1675104308.5976667,629,67508,0,GPS1_Frame,42.33697166666666,-71.08927,0.0,0.0,327883.8979689187,4689304.860676343,18:45:8,19,T
1675104309.325845,630,67509,0,GPS1_Frame,42.33697166666666,-71.08927166666666,20.299999237060547,0.800000011920929,327883.7606615421,4689304.86404992,18:45:9,19,T
1675104309.6254315,631,67509,0,GPS1_Frame,42.33697166666666,-71.08927166666666,0.0,0.0,327883.7606615421,4689304.86404992,18:45:9,19,T
1675104310.2979264,632,67510,0,GPS1_Frame,42.33697166666666,-71.08927166666666,20.299999237060547,0.800000011920929,327883.7606615421,4689304.86404992,18:45:10,19,T
1675104310.5978284,633,67510,0,GPS1_Frame,42.33697166666666,-71.08927166666666,0.0,0.0,327883.7606615421,4689304.86404992,18:45:10,19,T
1675104311.2929661,634,67511,0,GPS1_Frame,42.33697166666666,-71.08927333333334,20.299999237060547,0.8999999761581421,327883.62335416547,4689304.867423499,18:45:11,19,T
1675104312.0101638,635,67511,0,GPS1_Frame,42.33697166666666,-71.08927333333334,0.0,0.0,327883.62335416547,4689304.867423499,18:45:11,19,T
1675104312.3230686,636,67512,0,GPS1_Frame,42.33697166666666,-71.08927333333334,20.299999237060547,0.8999999761581421,327883.62335416547,4689304.867423499,18:45:12,19,T
1675104312.6179726,637,67512,0,GPS1_Frame,42.33697166666666,-71.08927333333334,0.0,0.0,327883.62335416547,4689304.867423499,18:45:12,19,T
1675104313.2937918,638,67513,0,GPS1_Frame,42.33697166666666,-71.08927333333334,20.299999237060547,0.8999999761581421,327883.62335416547,4689304.867423499,18:45:13,19,T
1675104313.5891948,639,67513,0,GPS1_Frame,42.33697166666666,-71.08927333333334,0.0,0.0,327883.62335416547,4689304.867423499,18:45:13,19,T
1675104314.3222454,640,67514,0,GPS1_Frame,42.33697333333333,-71.08927333333334,20.299999237060547,0.8999999761581421,327883.62790126825,4689305.052494129,18:45:14,19,T
1675104314.6180236,641,67514,0,GPS1_Frame,42.33697333333333,-71.08927333333334,0.0,0.0,327883.62790126825,4689305.052494129,18:45:14,19,T
1675104315.2936907,642,67515,0,GPS1_Frame,42.33697333333333,-71.089275,20.299999237060547,0.8999999761581421,327883.4905938973,4689305.055867712,18:45:15,19,T
1675104315.588943,643,67515,0,GPS1_Frame,42.33697333333333,-71.089275,0.0,0.0,327883.4905938973,4689305.055867712,18:45:15,19,T
1675104316.2937021,644,67516,0,GPS1_Frame,42.33697333333333,-71.089275,20.299999237060547,0.8999999761581421,327883.4905938973,4689305.055867712,18:45:16,19,T
1675104317.006486,645,67516,0,GPS1_Frame,42.33697333333333,-71.089275,0.0,0.0,327883.4905938973,4689305.055867712,18:45:16,19,T
1675104317.2940807,646,67517,0,GPS1_Frame,42.33697333333333,-71.089275,20.299999237060547,0.8999999761581421,327883.4905938973,4689305.055867712,18:45:17,19,T
1675104317.5896037,647,67517,0,GPS1_Frame,42.33697333333333,-71.089275,0.0,0.0,327883.4905938973,4689305.055867712,18:45:17,19,T
1675104318.3254495,648,67518,0,GPS1_Frame,42.33697333333333,-71.08927666666666,20.299999237060547,0.8999999761581421,327883.3532865264,4689305.059241297,18:45:18,19,T
1675104318.6208026,649,67518,0,GPS1_Frame,42.33697333333333,-71.08927666666666,0.0,0.0,327883.3532865264,4689305.059241297,18:45:18,19,T
1675104319.2933002,650,67519,0,GPS1_Frame,42.33697333333333,-71.08927666666666,20.399999618530273,0.8999999761581421,327883.3532865264,4689305.059241297,18:45:19,19,T
1675104319.5890648,651,67519,0,GPS1_Frame,42.33697333333333,-71.08927666666666,0.0,0.0,327883.3532865264,4689305.059241297,18:45:19,19,T
1675104320.293235,652,67520,0,GPS1_Frame,42.33697333333333,-71.08927666666666,20.399999618530273,0.8999999761581421,327883.3532865264,4689305.059241297,18:45:20,19,T
1675104320.589052,653,67520,0,GPS1_Frame,42.33697333333333,-71.08927666666666,0.0,0.0,327883.3532865264,4689305.059241297,18:45:20,19,T
1675104321.2944696,654,67521,0,GPS1_Frame,42.33697333333333,-71.08927833333334,20.399999618530273,0.8999999761581421,327883.2159791533,4689305.062614884,18:45:21,19,T
1675104322.0069904,655,67521,0,GPS1_Frame,42.33697333333333,-71.08927833333334,0.0,0.0,327883.2159791533,4689305.062614884,18:45:21,19,T
1675104322.3216815,656,67522,0,GPS1_Frame,42.336975,-71.08927833333334,20.399999618530273,0.8999999761581421,327883.2205262672,4689305.247685512,18:45:22,19,T
1675104322.617962,657,67522,0,GPS1_Frame,42.336975,-71.08927833333334,0.0,0.0,327883.2205262672,4689305.247685512,18:45:22,19,T
1675104323.2943847,658,67523,0,GPS1_Frame,42.336975,-71.08927833333334,20.399999618530273,0.8999999761581421,327883.2205262672,4689305.247685512,18:45:23,19,T
1675104323.5893853,659,67523,0,GPS1_Frame,42.336975,-71.08927833333334,0.0,0.0,327883.2205262672,4689305.247685512,18:45:23,19,T
1675104324.322931,660,67524,0,GPS1_Frame,42.336975,-71.08927833333334,20.399999618530273,0.8999999761581421,327883.2205262672,4689305.247685512,18:45:24,19,T
1675104324.6185691,661,67524,0,GPS1_Frame,42.336975,-71.08927833333334,0.0,0.0,327883.2205262672,4689305.247685512,18:45:24,19,T
1675104325.3239942,662,67525,0,GPS1_Frame,42.336975,-71.08928,20.399999618530273,0.8999999761581421,327883.0832188977,4689305.251059103,18:45:25,19,T
1675104325.6190865,663,67525,0,GPS1_Frame,42.336975,-71.08928,0.0,0.0,327883.0832188977,4689305.251059103,18:45:25,19,T
1675104326.295539,664,67526,0,GPS1_Frame,42.336975,-71.08928,20.399999618530273,0.8999999761581421,327883.0832188977,4689305.251059103,18:45:26,19,T
1675104327.0124862,665,67526,0,GPS1_Frame,42.336975,-71.08928,0.0,0.0,327883.0832188977,4689305.251059103,18:45:26,19,T
1675104327.2939897,666,67527,0,GPS1_Frame,42.336975,-71.08928,20.399999618530273,0.8999999761581421,327883.0832188977,4689305.251059103,18:45:27,19,T
1675104327.589362,667,67527,0,GPS1_Frame,42.336975,-71.08928,0.0,0.0,327883.0832188977,4689305.251059103,18:45:27,19,T
1675104328.2937381,668,67528,0,GPS1_Frame,42.336975,-71.08928166666666,20.399999618530273,0.8999999761581421,327882.9459115325,4689305.254432695,18:45:28,19,T
1675104328.5889485,669,67528,0,GPS1_Frame,42.336975,-71.08928166666666,0.0,0.0,327882.9459115325,4689305.254432695,18:45:28,19,T
1675104329.2942693,670,67529,0,GPS1_Frame,42.336976666666665,-71.08928166666666,20.5,0.8999999761581421,327882.95045865374,4689305.439503324,18:45:29,19,T
1675104329.58956,671,67529,0,GPS1_Frame,42.336976666666665,-71.08928166666666,0.0,0.0,327882.95045865374,4689305.439503324,18:45:29,19,T
1675104330.3226528,672,67530,0,GPS1_Frame,42.336976666666665,-71.08928333333333,20.5,0.8999999761581421,327882.81315128785,4689305.44287692,18:45:30,19,T
1675104330.6183972,673,67530,0,GPS1_Frame,42.336976666666665,-71.08928333333333,0.0,0.0,327882.81315128785,4689305.44287692,18:45:30,19,T
1675104331.3025393,674,67531,0,GPS1_Frame,42.336976666666665,-71.08928333333333,20.5,0.8999999761581421,327882.81315128785,4689305.44287692,18:45:31,19,T
1675104332.0155275,675,67531,0,GPS1_Frame,42.336976666666665,-71.08928333333333,0.0,0.0,327882.81315128785,4689305.44287692,18:45:31,19,T
1675104332.2937417,676,67532,0,GPS1_Frame,42.336976666666665,-71.089285,20.5,0.8999999761581421,327882.675843922,4689305.446250518,18:45:32,19,T
1675104332.5891123,677,67532,0,GPS1_Frame,42.336976666666665,-71.089285,0.0,0.0,327882.675843922,4689305.446250518,18:45:32,19,T
1675104333.293873,678,67533,0,GPS1_Frame,42.336976666666665,-71.089285,20.5,0.8999999761581421,327882.675843922,4689305.446250518,18:45:33,19,T
1675104333.5892553,679,67533,0,GPS1_Frame,42.336976666666665,-71.089285,0.0,0.0,327882.675843922,4689305.446250518,18:45:33,19,T
1675104334.2932494,680,67534,0,GPS1_Frame,42.336978333333334,-71.08928666666667,20.5,0.8999999761581421,327882.5430836905,4689305.634694749,18:45:34,19,T
1675104334.5895724,681,67534,0,GPS1_Frame,42.336978333333334,-71.08928666666667,0.0,0.0,327882.5430836905,4689305.634694749,18:45:34,19,T
1675104335.2937193,682,67535,0,GPS1_Frame,42.336978333333334,-71.08928666666667,20.5,0.8999999761581421,327882.5430836905,4689305.634694749,18:45:35,19,T
1675104335.5895092,683,67535,0,GPS1_Frame,42.336978333333334,-71.08928666666667,0.0,0.0,327882.5430836905,4689305.634694749,18:45:35,19,T
1675104336.2947452,684,67536,0,GPS1_Frame,42.336978333333334,-71.08928666666667,20.5,0.8999999761581421,327882.5430836905,4689305.634694749,18:45:36,19,T
1675104337.0068882,685,67536,0,GPS1_Frame,42.336978333333334,-71.08928666666667,0.0,0.0,327882.5430836905,4689305.634694749,18:45:36,19,T
1675104337.3014803,686,67537,0,GPS1_Frame,42.336978333333334,-71.08928833333333,20.5,0.8999999761581421,327882.4057763304,4689305.638068352,18:45:37,19,T
