Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675105804.2475727,10,69004,0,GPS1_Frame,42.33712333333333,-71.09044,13.0,1.0,327787.92220627016,4689324.0710187135,19:10:4,19,T
1675105804.5382817,11,69004,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:4,19,T
1675105805.2461932,12,69005,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:5,19,T
1675105805.5369978,13,69005,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:5,19,T
1675105806.2464123,14,69006,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:6,19,T
1675105806.5375013,15,69006,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:6,19,T
1675105807.2485304,16,69007,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:7,19,T
1675105807.9772758,17,69007,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:7,19,T
1675105808.2466176,18,69008,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:8,19,T
1675105808.537709,19,69008,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:8,19,T
1675105809.2466042,20,69009,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:9,19,T
1675105809.537657,21,69009,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:9,19,T
1675105810.2452724,22,69010,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:10,19,T
1675105810.536679,23,69010,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:10,19,T
1675105811.2462509,24,69011,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:11,19,T
1675105811.5373282,25,69011,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:11,19,T
1675105812.2474167,26,69012,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:12,19,T
1675105812.9760027,27,69012,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:12,19,T
1675105813.2487414,28,69013,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:13,19,T
1675105813.539698,29,69013,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:13,19,T
1675105814.246979,30,69014,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:14,19,T
1675105814.5378623,31,69014,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:14,19,T
1675105815.2470083,32,69015,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:15,19,T
1675105815.5380025,33,69015,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:15,19,T
1675105816.2479336,34,69016,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:16,19,T
1675105816.5388873,35,69016,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:16,19,T
1675105817.2477882,36,69017,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:17,19,T
1675105817.9764035,37,69017,0,GPS1_Frame,42.33712333333333,-71.09044,0.0,0.0,327787.92220627016,4689324.0710187135,19:10:17,19,T
1675105818.2465558,38,69018,0,GPS1_Frame,42.33712333333333,-71.09044,12.899999618530273,1.0,327787.92220627016,4689324.0710187135,19:10:18,19,T
